Team,Year,Contest (Average),AveragePoints,Contest (First),FirstPct,Contest (Top 5),Top5Pct
East Islip,2002,C Ladder,0.00,C Ladder,0,C Ladder,0
Port Washington,2002,C Ladder,NA,C Ladder,0,C Ladder,0
Farmingville,2002,C Ladder,0.00,C Ladder,0,C Ladder,0
North Bellmore,2002,C Ladder,0.50,C Ladder,0,C Ladder,0
Baldwin,2002,C Ladder,NA,C Ladder,0,C Ladder,0
Islip,2002,C Ladder,0.21,C Ladder,0,C Ladder,0
West Sayville,2002,C Ladder,0.70,C Ladder,0.5,C Ladder,6.6
North Merrick,2002,C Ladder,NA,C Ladder,0,C Ladder,0
North Babylon,2002,C Ladder,NA,C Ladder,0,C Ladder,0
Cutchogue,2002,C Ladder,0.00,C Ladder,0,C Ladder,0
Oyster Bay TB,2002,C Ladder,0.12,C Ladder,0,C Ladder,0
South Hempstead,2002,C Ladder,NA,C Ladder,0,C Ladder,0
Evans Mills,2002,C Ladder,NA,C Ladder,0,C Ladder,0
Carle Place,2002,C Ladder,NA,C Ladder,0,C Ladder,0
Merrick,2002,C Ladder,NA,C Ladder,0,C Ladder,0
Union Hose,2002,C Ladder,NA,C Ladder,0,C Ladder,0
Islip Terrace,2002,C Ladder,NA,C Ladder,0,C Ladder,0
Bay Shore,2002,C Ladder,0.00,C Ladder,0,C Ladder,0
Manhasset-Lakeville,2002,C Ladder,0.75,C Ladder,4,C Ladder,14.6
Lindenhurst,2002,C Ladder,NA,C Ladder,0,C Ladder,0
Copenhagen,2002,C Ladder,NA,C Ladder,0,C Ladder,0
Hagerman,2002,C Ladder,NA,C Ladder,0,C Ladder,0
Hempstead Yellow Hornets,2002,C Ladder,1.68,C Ladder,0,C Ladder,0
West Hempstead,2002,C Ladder,0.00,C Ladder,0,C Ladder,0
North Lindenhurst,2002,C Ladder,0.00,C Ladder,0,C Ladder,0
Elmont,2002,C Ladder,0.00,C Ladder,0,C Ladder,0
Hicksville,2002,C Ladder,NA,C Ladder,0,C Ladder,0
Freeport,2002,C Ladder,NA,C Ladder,0,C Ladder,0
Westbury,2002,C Ladder,0.00,C Ladder,0,C Ladder,0
West Carthage,2002,C Ladder,NA,C Ladder,0,C Ladder,0
Roslyn,2002,C Ladder,0.00,C Ladder,0,C Ladder,0
Point Pleasant,2002,C Ladder,0.00,C Ladder,0,C Ladder,0
Saint James,2003,C Ladder,0.00,C Ladder,0,C Ladder,0
Mineola,2003,C Ladder,NA,C Ladder,0,C Ladder,0
West Sayville,2003,C Ladder,1.02,C Ladder,1.2,C Ladder,8.2
Merrick,2003,C Ladder,NA,C Ladder,0,C Ladder,0
Hagerman,2003,C Ladder,NA,C Ladder,0,C Ladder,0
Westbury,2003,C Ladder,0.00,C Ladder,0,C Ladder,0
New Hyde Park,2003,C Ladder,0.43,C Ladder,1.2,C Ladder,4.4
Bay Shore,2003,C Ladder,0.01,C Ladder,0,C Ladder,0
Port Washington,2003,C Ladder,NA,C Ladder,0,C Ladder,0
Cutchogue,2003,C Ladder,0.00,C Ladder,0,C Ladder,0
Roslyn,2003,C Ladder,0.00,C Ladder,0,C Ladder,0
Central Islip,2003,C Ladder,0.08,C Ladder,0,C Ladder,0
Farmingville,2003,C Ladder,NA,C Ladder,0,C Ladder,0
Carle Place,2003,C Ladder,NA,C Ladder,0,C Ladder,0
Freeport,2003,C Ladder,0.00,C Ladder,0,C Ladder,0
East Islip,2003,C Ladder,0.43,C Ladder,0,C Ladder,0
Spencerport,2003,C Ladder,0.86,C Ladder,0,C Ladder,0
Copiague,2003,C Ladder,NA,C Ladder,0,C Ladder,0
Patchogue,2003,C Ladder,0.17,C Ladder,0,C Ladder,0
North Babylon,2003,C Ladder,NA,C Ladder,0,C Ladder,0
Levittown,2003,C Ladder,NA,C Ladder,0,C Ladder,0
Syosset,2003,C Ladder,NA,C Ladder,0,C Ladder,0
Manhasset-Lakeville,2003,C Ladder,0.80,C Ladder,6.3,C Ladder,21.5
West Hempstead,2003,C Ladder,0.00,C Ladder,0,C Ladder,0
Oceanside EN,2003,C Ladder,NA,C Ladder,0,C Ladder,0
North Lindenhurst,2003,C Ladder,0.00,C Ladder,0,C Ladder,0
South Hempstead,2003,C Ladder,NA,C Ladder,0,C Ladder,0
Riverhead,2003,C Ladder,NA,C Ladder,0,C Ladder,0
Henrietta,2003,C Ladder,NA,C Ladder,0,C Ladder,0
Islip,2003,C Ladder,0.13,C Ladder,0,C Ladder,0.7
East Farmingdale,2003,C Ladder,NA,C Ladder,0,C Ladder,0
Baldwin,2003,C Ladder,NA,C Ladder,0,C Ladder,0
Selden,2003,C Ladder,NA,C Ladder,0,C Ladder,0
Lindenhurst,2003,C Ladder,NA,C Ladder,0,C Ladder,0
Main-Transit,2003,C Ladder,NA,C Ladder,0,C Ladder,0
Copenhagen,2003,C Ladder,NA,C Ladder,0,C Ladder,0
Oyster Bay TB,2003,C Ladder,0.01,C Ladder,0,C Ladder,0
Islip Terrace,2003,C Ladder,0.00,C Ladder,0,C Ladder,0
West Islip,2003,C Ladder,0.00,C Ladder,0,C Ladder,0
North Merrick,2003,C Ladder,NA,C Ladder,0,C Ladder,0
Hempstead Yellow Hornets,2003,C Ladder,0.21,C Ladder,0,C Ladder,0.1
Point Pleasant,2003,C Ladder,NA,C Ladder,0,C Ladder,0
Hicksville,2003,C Ladder,0.00,C Ladder,0,C Ladder,0
North Bellmore,2003,C Ladder,0.28,C Ladder,0.1,C Ladder,1.7
Elmont,2003,C Ladder,0.00,C Ladder,0,C Ladder,0
North Bellmore,2004,C Ladder,0.00,C Ladder,0,C Ladder,0.1
Westbury,2004,C Ladder,0.00,C Ladder,0,C Ladder,0
West Islip,2004,C Ladder,NA,C Ladder,0,C Ladder,0
East Farmingdale,2004,C Ladder,NA,C Ladder,0,C Ladder,0
Islip,2004,C Ladder,0.04,C Ladder,0,C Ladder,0.1
Elsmere,2004,C Ladder,NA,C Ladder,0,C Ladder,0
Copenhagen,2004,C Ladder,NA,C Ladder,0,C Ladder,0
Henrietta,2004,C Ladder,NA,C Ladder,0,C Ladder,0
Main-Transit,2004,C Ladder,NA,C Ladder,0,C Ladder,0
West Sayville,2004,C Ladder,0.66,C Ladder,2.2,C Ladder,13.9
Carle Place,2004,C Ladder,NA,C Ladder,0,C Ladder,0
Farmingville,2004,C Ladder,NA,C Ladder,0,C Ladder,0
West Carthage,2004,C Ladder,NA,C Ladder,0,C Ladder,0
Lindenhurst,2004,C Ladder,NA,C Ladder,0,C Ladder,0
West Hempstead,2004,C Ladder,0.00,C Ladder,0,C Ladder,0
Manhasset-Lakeville,2004,C Ladder,0.14,C Ladder,0,C Ladder,1.7
Cutchogue,2004,C Ladder,0.00,C Ladder,0,C Ladder,0
North Greece,2004,C Ladder,NA,C Ladder,0,C Ladder,0
Elmont,2004,C Ladder,0.00,C Ladder,0,C Ladder,0
South Hempstead,2004,C Ladder,0.00,C Ladder,0,C Ladder,0
Union Hose,2004,C Ladder,0.00,C Ladder,0,C Ladder,0
Oyster Bay TB,2004,C Ladder,0.00,C Ladder,0,C Ladder,0
Freeport,2004,C Ladder,0.00,C Ladder,0,C Ladder,0
Patchogue,2004,C Ladder,1.68,C Ladder,0,C Ladder,0.1
Baldwin,2004,C Ladder,NA,C Ladder,0,C Ladder,0
Hagerman,2004,C Ladder,NA,C Ladder,0,C Ladder,0
North Lindenhurst,2004,C Ladder,0.01,C Ladder,0,C Ladder,0
Roslyn,2004,C Ladder,NA,C Ladder,0,C Ladder,0
Lake Placid,2004,C Ladder,NA,C Ladder,0,C Ladder,0
Point Pleasant,2004,C Ladder,0.00,C Ladder,0,C Ladder,0
Brentwood,2004,C Ladder,NA,C Ladder,0,C Ladder,0
Central Islip,2004,C Ladder,0.15,C Ladder,0,C Ladder,0
Barnard,2004,C Ladder,NA,C Ladder,0,C Ladder,0
New Hyde Park,2004,C Ladder,0.27,C Ladder,0,C Ladder,0
North Babylon,2004,C Ladder,NA,C Ladder,0,C Ladder,0
Spencerport,2004,C Ladder,1.30,C Ladder,0,C Ladder,0
Selden,2004,C Ladder,NA,C Ladder,0,C Ladder,0
Hicksville,2004,C Ladder,NA,C Ladder,0,C Ladder,0
Port Washington,2004,C Ladder,NA,C Ladder,0,C Ladder,0
Hempstead Yellow Hornets,2004,C Ladder,0.71,C Ladder,0,C Ladder,0
Atlantic Steamer,2004,C Ladder,NA,C Ladder,0,C Ladder,0
Islip Terrace,2004,C Ladder,0.00,C Ladder,0,C Ladder,0
Saint James,2004,C Ladder,0.00,C Ladder,0,C Ladder,0
North Merrick,2004,C Ladder,NA,C Ladder,0,C Ladder,0
Deerfield,2004,C Ladder,NA,C Ladder,0,C Ladder,0
Bay Shore,2004,C Ladder,0.02,C Ladder,0,C Ladder,0
East Islip,2004,C Ladder,0.00,C Ladder,0,C Ladder,0
Bay Shore,2005,C Ladder,0.00,C Ladder,0,C Ladder,0
West Islip,2005,C Ladder,0.19,C Ladder,0,C Ladder,0
Freeport,2005,C Ladder,0.00,C Ladder,0,C Ladder,0
Farmingville,2005,C Ladder,NA,C Ladder,0,C Ladder,0
Spencerport,2005,C Ladder,0.68,C Ladder,0.1,C Ladder,3.8
Main-Transit,2005,C Ladder,NA,C Ladder,0,C Ladder,0
Brentwood,2005,C Ladder,NA,C Ladder,0,C Ladder,0
West Hempstead,2005,C Ladder,0.09,C Ladder,0,C Ladder,0
Islip,2005,C Ladder,0.04,C Ladder,0,C Ladder,0.2
Manhasset-Lakeville,2005,C Ladder,0.61,C Ladder,2.4,C Ladder,15.6
Copenhagen,2005,C Ladder,NA,C Ladder,0,C Ladder,0
Saint James,2005,C Ladder,NA,C Ladder,0,C Ladder,0
Baldwin,2005,C Ladder,NA,C Ladder,0,C Ladder,0
Point Pleasant,2005,C Ladder,NA,C Ladder,0,C Ladder,0
Elmont,2005,C Ladder,NA,C Ladder,0,C Ladder,0
North Babylon,2005,C Ladder,NA,C Ladder,0,C Ladder,0
North Lindenhurst,2005,C Ladder,0.66,C Ladder,0,C Ladder,0
Copiague,2005,C Ladder,0.00,C Ladder,0,C Ladder,0
Lake Placid,2005,C Ladder,NA,C Ladder,0,C Ladder,0
Oyster Bay TB,2005,C Ladder,0.00,C Ladder,0,C Ladder,0
Atlantic Steamer,2005,C Ladder,0.00,C Ladder,0,C Ladder,0
Selden,2005,C Ladder,NA,C Ladder,0,C Ladder,0
Coram,2005,C Ladder,NA,C Ladder,0,C Ladder,0
Glenwood,2005,C Ladder,NA,C Ladder,0,C Ladder,0
Massapequa,2005,C Ladder,NA,C Ladder,0,C Ladder,0
Islip Terrace,2005,C Ladder,0.03,C Ladder,0,C Ladder,0
Mineola,2005,C Ladder,NA,C Ladder,0,C Ladder,0
Carle Place,2005,C Ladder,NA,C Ladder,0,C Ladder,0
Hagerman,2005,C Ladder,NA,C Ladder,0,C Ladder,0
Roslyn,2005,C Ladder,0.00,C Ladder,0,C Ladder,0
Port Washington,2005,C Ladder,0.00,C Ladder,0,C Ladder,0
Hempstead Yellow Hornets,2005,C Ladder,1.77,C Ladder,0,C Ladder,0
East Farmingdale,2005,C Ladder,NA,C Ladder,0,C Ladder,0
Hicksville,2005,C Ladder,0.00,C Ladder,0,C Ladder,0
North Bellmore,2005,C Ladder,0.00,C Ladder,0,C Ladder,0
Lindenhurst,2005,C Ladder,0.03,C Ladder,0,C Ladder,0
Deerfield,2005,C Ladder,NA,C Ladder,0,C Ladder,0
New Hyde Park,2005,C Ladder,0.07,C Ladder,0,C Ladder,0.1
South Hempstead,2005,C Ladder,0.00,C Ladder,0,C Ladder,0
West Sayville,2005,C Ladder,2.47,C Ladder,2.6,C Ladder,15.1
East Islip,2005,C Ladder,NA,C Ladder,0,C Ladder,0
Cutchogue,2005,C Ladder,NA,C Ladder,0,C Ladder,0
Central Islip,2005,C Ladder,0.01,C Ladder,0,C Ladder,0
Westbury,2005,C Ladder,0.00,C Ladder,0,C Ladder,0
Barnard,2005,C Ladder,NA,C Ladder,0,C Ladder,0
Holbrook,2005,C Ladder,NA,C Ladder,0,C Ladder,0
Patchogue,2005,C Ladder,2.40,C Ladder,0,C Ladder,2.7
Elsmere,2005,C Ladder,NA,C Ladder,0,C Ladder,0
Clayton,2005,C Ladder,NA,C Ladder,0,C Ladder,0
Oceanside,2005,C Ladder,NA,C Ladder,0,C Ladder,0
Henrietta,2005,C Ladder,NA,C Ladder,0,C Ladder,0
Selden,2006,C Ladder,NA,C Ladder,0,C Ladder,0
Cutchogue,2006,C Ladder,NA,C Ladder,0,C Ladder,0
Copenhagen,2006,C Ladder,NA,C Ladder,0,C Ladder,0
North Bellmore,2006,C Ladder,NA,C Ladder,0,C Ladder,0
East Islip,2006,C Ladder,0.00,C Ladder,0,C Ladder,0
Westbury,2006,C Ladder,0.00,C Ladder,0,C Ladder,0
Roslyn,2006,C Ladder,0.00,C Ladder,0,C Ladder,0
New Hyde Park,2006,C Ladder,0.68,C Ladder,0.1,C Ladder,2.4
West Hempstead,2006,C Ladder,0.09,C Ladder,0,C Ladder,0
West Carthage,2006,C Ladder,NA,C Ladder,0,C Ladder,0
Carle Place,2006,C Ladder,NA,C Ladder,0,C Ladder,0
South Hempstead,2006,C Ladder,0.00,C Ladder,0,C Ladder,0
Sea Breeze,2006,C Ladder,NA,C Ladder,0,C Ladder,0
West Sayville,2006,C Ladder,2.98,C Ladder,2.1,C Ladder,14.8
Islip Terrace,2006,C Ladder,NA,C Ladder,0,C Ladder,0
Lindenhurst,2006,C Ladder,0.00,C Ladder,0,C Ladder,0
Islip,2006,C Ladder,0.25,C Ladder,0,C Ladder,2.6
Hempstead Yellow Hornets,2006,C Ladder,1.91,C Ladder,0,C Ladder,4.1
Lake Placid,2006,C Ladder,NA,C Ladder,0,C Ladder,0
North Lindenhurst,2006,C Ladder,0.16,C Ladder,0,C Ladder,0
West Islip,2006,C Ladder,0.00,C Ladder,0,C Ladder,0
Copiague,2006,C Ladder,0.00,C Ladder,0,C Ladder,0
Deer Park,2006,C Ladder,NA,C Ladder,0,C Ladder,0
Levittown,2006,C Ladder,NA,C Ladder,0,C Ladder,0
Baldwin,2006,C Ladder,NA,C Ladder,0,C Ladder,0
Central Islip,2006,C Ladder,0.06,C Ladder,0,C Ladder,0
Deerfield,2006,C Ladder,NA,C Ladder,0,C Ladder,0
Spencerport,2006,C Ladder,0.64,C Ladder,0.4,C Ladder,7.3
Henrietta,2006,C Ladder,NA,C Ladder,0,C Ladder,0
Coram,2006,C Ladder,NA,C Ladder,0,C Ladder,0
East Farmingdale,2006,C Ladder,NA,C Ladder,0,C Ladder,0
Union Hose,2006,C Ladder,NA,C Ladder,0,C Ladder,0
Point Pleasant,2006,C Ladder,NA,C Ladder,0,C Ladder,0
Brentwood,2006,C Ladder,NA,C Ladder,0,C Ladder,0
Freeport,2006,C Ladder,0.00,C Ladder,0,C Ladder,0
Elsmere,2006,C Ladder,NA,C Ladder,0,C Ladder,0
Hicksville,2006,C Ladder,0.00,C Ladder,0,C Ladder,0
Main-Transit,2006,C Ladder,0.00,C Ladder,0,C Ladder,0
Atlantic Steamer,2006,C Ladder,0.00,C Ladder,0,C Ladder,0
Saint James,2006,C Ladder,NA,C Ladder,0,C Ladder,0
Sayville,2006,C Ladder,NA,C Ladder,0,C Ladder,0
Riverhead,2006,C Ladder,NA,C Ladder,0,C Ladder,0
Manhasset-Lakeville,2006,C Ladder,0.15,C Ladder,0,C Ladder,0.4
Patchogue,2006,C Ladder,0.59,C Ladder,0,C Ladder,0
Port Washington,2006,C Ladder,NA,C Ladder,0,C Ladder,0
Elmont,2006,C Ladder,NA,C Ladder,0,C Ladder,0
Bay Shore,2006,C Ladder,0.03,C Ladder,0,C Ladder,0
Clayton,2006,C Ladder,NA,C Ladder,0,C Ladder,0
West Islip,2007,C Ladder,0.00,C Ladder,0,C Ladder,0.1
Central Islip,2007,C Ladder,0.26,C Ladder,0,C Ladder,0
Brentwood,2007,C Ladder,NA,C Ladder,0,C Ladder,0
Elmont,2007,C Ladder,0.00,C Ladder,0,C Ladder,0
Manhasset-Lakeville,2007,C Ladder,0.02,C Ladder,0,C Ladder,0
Coram,2007,C Ladder,NA,C Ladder,0,C Ladder,0
East Farmingdale,2007,C Ladder,NA,C Ladder,0,C Ladder,0
Islip,2007,C Ladder,0.15,C Ladder,0.1,C Ladder,4
Elsmere,2007,C Ladder,NA,C Ladder,0,C Ladder,0
Copenhagen,2007,C Ladder,NA,C Ladder,0,C Ladder,0
Selden,2007,C Ladder,NA,C Ladder,0,C Ladder,0
Riverhead,2007,C Ladder,NA,C Ladder,0,C Ladder,0
Deerfield,2007,C Ladder,NA,C Ladder,0,C Ladder,0
Main-Transit,2007,C Ladder,0.00,C Ladder,0,C Ladder,0
East Islip,2007,C Ladder,0.00,C Ladder,0,C Ladder,0
North Bellmore,2007,C Ladder,NA,C Ladder,0,C Ladder,0
Bay Shore,2007,C Ladder,0.02,C Ladder,0,C Ladder,0
Copiague,2007,C Ladder,0.00,C Ladder,0,C Ladder,0
Roslyn,2007,C Ladder,0.00,C Ladder,0,C Ladder,0
Clayton,2007,C Ladder,NA,C Ladder,0,C Ladder,0
Levittown,2007,C Ladder,NA,C Ladder,0,C Ladder,0
North Babylon,2007,C Ladder,NA,C Ladder,0,C Ladder,0
Oyster Bay TB,2007,C Ladder,NA,C Ladder,0,C Ladder,0
Hicksville,2007,C Ladder,NA,C Ladder,0,C Ladder,0
Glenwood,2007,C Ladder,NA,C Ladder,0,C Ladder,0
Henrietta,2007,C Ladder,NA,C Ladder,0,C Ladder,0
New Hyde Park,2007,C Ladder,0.42,C Ladder,0,C Ladder,0
Freeport,2007,C Ladder,0.01,C Ladder,0,C Ladder,0
North Lindenhurst,2007,C Ladder,0.13,C Ladder,0,C Ladder,0
West Hempstead,2007,C Ladder,0.08,C Ladder,0,C Ladder,0
Saint James,2007,C Ladder,NA,C Ladder,0,C Ladder,0
Spencerport,2007,C Ladder,0.00,C Ladder,0,C Ladder,0.2
Sayville,2007,C Ladder,NA,C Ladder,0,C Ladder,0
Carle Place,2007,C Ladder,NA,C Ladder,0,C Ladder,0
Lindenhurst,2007,C Ladder,0.00,C Ladder,0,C Ladder,0
Patchogue,2007,C Ladder,0.23,C Ladder,0,C Ladder,0
South Hempstead,2007,C Ladder,0.04,C Ladder,0,C Ladder,0
Hempstead Yellow Hornets,2007,C Ladder,0.91,C Ladder,0,C Ladder,0
Point Pleasant,2007,C Ladder,NA,C Ladder,0,C Ladder,0
West Sayville,2007,C Ladder,3.97,C Ladder,15.7,C Ladder,40.9
Port Washington,2007,C Ladder,NA,C Ladder,0,C Ladder,0
Cutchogue,2007,C Ladder,NA,C Ladder,0,C Ladder,0
Westbury,2007,C Ladder,0.05,C Ladder,0,C Ladder,0
Baldwin,2007,C Ladder,NA,C Ladder,0,C Ladder,0
Copenhagen,2008,C Ladder,NA,C Ladder,0,C Ladder,0
Henrietta,2008,C Ladder,NA,C Ladder,0,C Ladder,0
Oyster Bay TB,2008,C Ladder,NA,C Ladder,0,C Ladder,0
Deerfield,2008,C Ladder,NA,C Ladder,0,C Ladder,0
Spencerport,2008,C Ladder,0.00,C Ladder,0,C Ladder,0
North Bellmore,2008,C Ladder,NA,C Ladder,0,C Ladder,0
Roslyn,2008,C Ladder,NA,C Ladder,0,C Ladder,0
Cutchogue,2008,C Ladder,NA,C Ladder,0,C Ladder,0
West Islip,2008,C Ladder,0.00,C Ladder,0,C Ladder,0
New Hyde Park,2008,C Ladder,1.41,C Ladder,0,C Ladder,0
Westbury,2008,C Ladder,0.00,C Ladder,0,C Ladder,0
Sayville,2008,C Ladder,NA,C Ladder,0,C Ladder,0
Selden,2008,C Ladder,NA,C Ladder,0,C Ladder,0
East Islip,2008,C Ladder,0.20,C Ladder,0,C Ladder,0
Copiague,2008,C Ladder,0.06,C Ladder,0,C Ladder,0
Islip,2008,C Ladder,0.55,C Ladder,2.2,C Ladder,14.1
Bay Shore,2008,C Ladder,0.00,C Ladder,0,C Ladder,0
Riverhead,2008,C Ladder,NA,C Ladder,0,C Ladder,0
Lake Placid,2008,C Ladder,NA,C Ladder,0,C Ladder,0
Louisville,2008,C Ladder,NA,C Ladder,0,C Ladder,0
Islip Terrace,2008,C Ladder,NA,C Ladder,0,C Ladder,0
Sea Breeze,2008,C Ladder,NA,C Ladder,0,C Ladder,0
South Hempstead,2008,C Ladder,0.04,C Ladder,0,C Ladder,0
Baldwin,2008,C Ladder,NA,C Ladder,0,C Ladder,0
Elmont,2008,C Ladder,NA,C Ladder,0,C Ladder,0
West Sayville,2008,C Ladder,5.43,C Ladder,27.6,C Ladder,64.2
Brentwood,2008,C Ladder,NA,C Ladder,0,C Ladder,0
Elsmere,2008,C Ladder,NA,C Ladder,0,C Ladder,0
Central Islip,2008,C Ladder,1.40,C Ladder,1.6,C Ladder,6.5
Carle Place,2008,C Ladder,NA,C Ladder,0,C Ladder,0
Main-Transit,2008,C Ladder,NA,C Ladder,0,C Ladder,0
Point Pleasant,2008,C Ladder,NA,C Ladder,0,C Ladder,0
Union Hose,2008,C Ladder,NA,C Ladder,0,C Ladder,0
North Lindenhurst,2008,C Ladder,0.52,C Ladder,0,C Ladder,0
Glenwood,2008,C Ladder,NA,C Ladder,0,C Ladder,0
Freeport,2008,C Ladder,0.00,C Ladder,0,C Ladder,0
East Farmingdale,2008,C Ladder,NA,C Ladder,0,C Ladder,0
Lindenhurst,2008,C Ladder,0.04,C Ladder,0,C Ladder,0
Hempstead Yellow Hornets,2008,C Ladder,0.76,C Ladder,0,C Ladder,0
Manhasset-Lakeville,2008,C Ladder,0.00,C Ladder,0,C Ladder,0
Hicksville,2008,C Ladder,0.22,C Ladder,0,C Ladder,0
Port Washington,2008,C Ladder,NA,C Ladder,0,C Ladder,0
Coram,2008,C Ladder,NA,C Ladder,0,C Ladder,0
Saint James,2008,C Ladder,NA,C Ladder,0,C Ladder,0
Clayton,2008,C Ladder,NA,C Ladder,0,C Ladder,0
West Hempstead,2008,C Ladder,0.44,C Ladder,0,C Ladder,0
Syosset,2009,C Ladder,NA,C Ladder,0,C Ladder,0
South Hempstead,2009,C Ladder,0.00,C Ladder,0,C Ladder,0
Freeport,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Bay Shore,2009,C Ladder,0.00,C Ladder,0,C Ladder,0
Henrietta,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Lake Placid,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Clayton,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Hempstead Yellow Hornets,2009,C Ladder,0.75,C Ladder,0,C Ladder,0
Hicksville,2009,C Ladder,0.00,C Ladder,0,C Ladder,0
Point Pleasant,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Central Islip,2009,C Ladder,1.08,C Ladder,0,C Ladder,0.8
East Islip,2009,C Ladder,0.59,C Ladder,0,C Ladder,0
Deer Park,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Delmar,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Garden City Park,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Spencerport,2009,C Ladder,0.00,C Ladder,0,C Ladder,0
Copiague,2009,C Ladder,0.00,C Ladder,0,C Ladder,0
Main-Transit,2009,C Ladder,NA,C Ladder,0,C Ladder,0
West Sayville,2009,C Ladder,1.67,C Ladder,0.3,C Ladder,13.4
New Hyde Park,2009,C Ladder,0.03,C Ladder,0,C Ladder,0
Merrick,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Islip Terrace,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Sayville,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Atlantic Steamer,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Massapequa,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Glenwood,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Brentwood,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Coram,2009,C Ladder,NA,C Ladder,0,C Ladder,0
North Lindenhurst,2009,C Ladder,0.38,C Ladder,0,C Ladder,0
Islip,2009,C Ladder,0.68,C Ladder,0.7,C Ladder,14.3
Cutchogue,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Roslyn,2009,C Ladder,0.00,C Ladder,0,C Ladder,0
Oyster Bay TB,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Copenhagen,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Hagerman,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Elmont,2009,C Ladder,NA,C Ladder,0,C Ladder,0
West Hempstead,2009,C Ladder,0.05,C Ladder,0,C Ladder,0
Riverhead,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Baldwin,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Lindenhurst,2009,C Ladder,NA,C Ladder,0,C Ladder,0
North Bellmore,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Elsmere,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Selden,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Saint James,2009,C Ladder,0.00,C Ladder,0,C Ladder,0
West Islip,2009,C Ladder,0.00,C Ladder,0,C Ladder,0
Port Washington,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Manhasset-Lakeville,2009,C Ladder,0.00,C Ladder,0,C Ladder,0
North Babylon,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Carle Place,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Levittown,2009,C Ladder,NA,C Ladder,0,C Ladder,0
Westbury,2009,C Ladder,0.01,C Ladder,0,C Ladder,0.5
Lake Placid,2010,C Ladder,NA,C Ladder,0,C Ladder,0
Selden,2010,C Ladder,NA,C Ladder,0,C Ladder,0
Hempstead Yellow Hornets,2010,C Ladder,1.02,C Ladder,0,C Ladder,0.3
Freeport,2010,C Ladder,0.01,C Ladder,0,C Ladder,0
East Farmingdale,2010,C Ladder,NA,C Ladder,0,C Ladder,0
Baldwin,2010,C Ladder,NA,C Ladder,0,C Ladder,0
Westbury,2010,C Ladder,0.06,C Ladder,0,C Ladder,0
Clayton,2010,C Ladder,NA,C Ladder,0,C Ladder,0
Brentwood,2010,C Ladder,NA,C Ladder,0,C Ladder,0
West Sayville,2010,C Ladder,3.17,C Ladder,5.2,C Ladder,41
Levittown,2010,C Ladder,NA,C Ladder,0,C Ladder,0
Cutchogue,2010,C Ladder,NA,C Ladder,0,C Ladder,0
West Hempstead,2010,C Ladder,0.00,C Ladder,0,C Ladder,0
Manhasset-Lakeville,2010,C Ladder,NA,C Ladder,0,C Ladder,0
North Lindenhurst,2010,C Ladder,0.63,C Ladder,0,C Ladder,0
East Islip,2010,C Ladder,0.19,C Ladder,0,C Ladder,0
Roslyn,2010,C Ladder,0.04,C Ladder,0,C Ladder,0
North Bellmore,2010,C Ladder,NA,C Ladder,0,C Ladder,0
Henrietta,2010,C Ladder,NA,C Ladder,0,C Ladder,0
Islip,2010,C Ladder,0.89,C Ladder,6.1,C Ladder,21.9
West Carthage,2010,C Ladder,NA,C Ladder,0,C Ladder,0
North Babylon,2010,C Ladder,NA,C Ladder,0,C Ladder,0
Riverhead,2010,C Ladder,NA,C Ladder,0,C Ladder,0
Port Washington,2010,C Ladder,0.15,C Ladder,0,C Ladder,0
Central Islip,2010,C Ladder,1.87,C Ladder,1.4,C Ladder,13.5
Deer Park,2010,C Ladder,NA,C Ladder,0,C Ladder,0
Saint James,2010,C Ladder,NA,C Ladder,0,C Ladder,0
Lindenhurst,2010,C Ladder,0.00,C Ladder,0,C Ladder,0
Oyster Bay TB,2010,C Ladder,NA,C Ladder,0,C Ladder,0
Bay Shore,2010,C Ladder,0.22,C Ladder,0,C Ladder,0
Elmont,2010,C Ladder,NA,C Ladder,0,C Ladder,0
